COUNTRY_CODE|ITEM_MAKER_CODE|ITEM_MAKER_DESCRIPTION|MULTIPLICATION_FACTOR|GOODS_COLOUR|ITEM_MAKER_FAMILY_CODE|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
GBR|03SW|Swan 0-3m IPM| 0000001.00|W|SWAN|Y|4|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|44IN|Indesit 4-11 IPM Tel Reg| 0000001.00|W|INDE|Y|10|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CRED|CREDA| 0000001.00|A|CRED|Y|653|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CUIS|CUISINA| 0000001.00|W|CUIS|Y|665|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|DAIN|DAINICHI| 0000001.00|B|DAIN|Y|677|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|DECC|DECCA| 0000001.00|B|DECC|Y|689|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|AGAR|AGA| 0000001.00|A|AGA|Y|70|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|AKIT|AKITO| 0000001.00|B|AKIT|Y|82|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|DIRT|DIRT DEVIL| 0000001.00|G|DIRT|Y|731|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|DOME|DOMENA| 0000001.00|A|DOME|Y|743|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|DUAL|DUAL| 0000001.00|B|DUAL|Y|755|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|AOPR|AO| 0000001.00| |@@@@|Y|130|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ECO-|ECO-SWISS| 0000001.00|A|ECO-|Y|779|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ARGO|ARGOS| 0000001.00|G|ARGO|Y|154|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ARSS|ARGOS MONTHLY STAFF DISC 0-3| 0000001.00| |@@@@|Y|166|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ELHP|ELECTRA (HOTPOINT)| 0000001.00|W|ELCR|Y|815|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ELPH|ELECTRA (WHIRLPOOL)| 0000001.00|W|ELCR|Y|827|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|EMER|HOME EMERGENCY PROTECTION| 0000001.00| |@@@@|Y|839|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ENTR|ENTRY| 0000001.00|G|ENTR|Y|851|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ERCL|ER CLASSIC| 0000001.00|G|ERCL|Y|857|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ETNA|ETNA| 0000001.00|W|ETNA|Y|869|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|EVTN|EVOLUTION| 0000001.00| |EVTN|Y|887|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|FALC|FALCON| 0000001.00| |FALC|Y|899|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
ITA|OPPO|OPPO| 0000001.00|B|OPPO|Y|212100|2018-11-06 19:06:06.123175|2018-11-06 19:06:06.123175
GBR|BC02|BAXI CONCEPT 2| 0000001.00|H|BAXI|Y|268|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|FIRE|THE FIREPLACE GROUP| 0000001.00|A|FIRE|Y|923|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BCLY|BCARD 1YR GTEE| 0000001.00|G|@@@@|Y|292|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|BCOS|BARCLAYS CURRENT A/C PLUS 1YR| 0000001.00|A|@@@@|Y|310|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|BCTV|Barc HomePack Sat + TV 1+2| 0000001.00| |@@@@|Y|322|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|FUJF|FUJIFILM| 0000001.00|B|FUJI|Y|980|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BEKB|BEKO 20DD TEL REG| 0000001.00| |BEKO|Y|346|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BELB|BELLING 20DD TEL REG| 0000001.00| |BELL|Y|358|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BEPR|BELLING PROMO 3YR P&L| 0000001.00| |BELL|Y|370|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|GARW|GARWOOD| 0000001.00| |GARW|Y|1007|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|GEC|GEC| 0000001.00|A|GEC|Y|1019|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ADR|ADR SYSTEMS| 0000001.00| |ADR|Y|51|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|AEGR|AEG PROD REPLACEMENT 2YR UPSEL| 0000001.00| |AEG|Y|63|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|GLO9|GLOW-WORM 5YR TEL REG (DATA)| 0000001.00| |GLO|Y|1055|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|GLOL|GLOW-WORM| 0000001.00| |GLO|Y|1067|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|GOOD|GOODMANS| 0000001.00|G|GOOD|Y|1079|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|GRDI|GRUNDIG INSURANCE| 0000001.00|B|GRUN|Y|1091|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|GTEL|GDC TEL REG 2YR| 0000001.00|H|@@@@|Y|1103|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BTCB|BCARD 2YR £500+| 0000001.00|G|@@@@|Y|490|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|HARR|HARRIS| 0000001.00| |HARR|Y|1127|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|HCF2|Hotpoint CF Tel Reg 4-11m IPM| 0000001.00| |HOTP|Y|1139|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|HELO|HELIOS| 0000001.00| |HELO|Y|1151|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|HETE|HEATLINE 2YR TREG ENHANCED| 0000001.00| |HETL|Y|1163|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CCF2|CANNON CF Tel Reg 4-11m IPM| 0000001.00| |CANN|Y|550|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|HITI|HITARI| 0000001.00|B|HITI|Y|1187|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|HOMZ|HOMEBASE| 0000001.00| |@@@@|Y|1199|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|HOOX|HOOVER| 0000001.00|W|HOOV|Y|1211|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CMAQ|COMPAQ| 0000001.00|B|COPA|Y|598|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BAXI|BAXI| 0000001.00|A|BAXI|Y|255|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BC01|BAXI CONCEPT 1| 0000001.00|H|BAXI|Y|267|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
PRT|EMBE|EMBER| 0000001.00|W|@@@@|Y|228481|2020-03-03 19:02:54.154838|2020-03-03 19:02:54.154838
GBR|HTC|HTC| 0000001.00|B|HTC|Y|1265|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|HUMA|HUMAX| 0000001.00|B|HUMA|Y|1276|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BCOR|BARCLAYS ADDITIONS ACTIVE 2 YR| 0000001.00|A|@@@@|Y|309|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|ID3R|Ideal 3yr Tel Reg| 0000001.00|H|IDEA|Y|1318|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|INDR|INDESIT REG (IN GTEE REPAIR)| 0000001.00|W|INDE|Y|1354|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|IWNT|IWANTIT| 0000001.00| |IWNT|Y|1390|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|JESS|JESSOPS| 0000001.00|B|JESS|Y|1420|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|KAYE|KAYEE| 0000001.00|W|KAYE|Y|1450|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|KITE|KIOTE| 0000001.00|W|KITE|Y|1480|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|KT|KT| 0000001.00|B|KT|Y|1498|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|AIPT|AIPTEK| 0000001.00|G|AIPT|Y|73|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|AMD|AMD| 0000001.00|B|AMD|Y|109|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|APAC|APAC| 0000001.00|B|APAC|Y|133|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ARCT|ARCTIS| 0000001.00|W|ARCT|Y|151|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ASAK|ASAKI| 0000001.00|G|ASAK|Y|169|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BIAS|BIASI| 0000001.00|H|BIAS|Y|387|2018-02-28 16:29:07.000000|2021-02-18 19:01:50.936181
GBR|AVEN|AVENSIS| 0000001.00| |AVEN|Y|211|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BAUT|BAUMATIC TEL REG| 0000001.00| |BAUM|Y|247|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BCIF|BARCLAYCARD WARRANTY| 0000001.00|A|@@@@|Y|277|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|BCPB|BCLAYS ADD +2 YRG| 0000001.00|A|@@@@|Y|313|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|CREA|CREATIVE ART| 0000001.00|A|CREA|Y|652|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BLIZ|BLIZZARD| 0000001.00|W|BLIZ|Y|411|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BOAC|BOSTON ACOUSTICS| 0000001.00|B|BOAC|Y|423|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BOS|BOSCH COMBINATION| 0000001.00|A|BOSC|Y|435|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BEBI|BEKO BUILT IN 2 YEAR MAN. GTEE| 0000001.00|W|BEKO|Y|337|2018-02-28 16:29:07.000000|2018-02-28 16:29:07.000000
GBR|BEK4|BEKO JOHN LEWIS 2YR WEB REG| 0000001.00| |BEKO|Y|343|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BRAU|BRAUN| 0000001.00|G|BRAU|Y|459|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|LOGK|LOGIK| 0000001.00| |LOGK|Y|1588|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BROS|BROSELEY FIRES| 0000001.00| |BROS|Y|477|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
ESP|WAHL|WAHL| 0000001.00|W|@@@@|Y|228486|2020-03-09 19:03:09.310024|2020-03-09 19:03:09.310024
GBR|BTCA|BCARD 1YR £500+| 0000001.00|G|@@@@|Y|489|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|BET|BETA| 0000001.00|A|BET|Y|379|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CALC|CALCO| 0000001.00| |CALC|Y|513|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BK25|Beko| 0000001.00| |BEKO|Y|397|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CARD|CARADON| 0000001.00|A|CARD|Y|531|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|MAX|MAXOL (MAX)| 0000001.00|A|MAXO|Y|1660|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|MAXO|MAXOL| 0000001.00|A|MAXO|Y|1666|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|HETP|HEATLINE| 0000001.00|H|HETL|Y|1166|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|DEWA|DE WALT| 0000001.00| |DEWA|Y|706|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CHA|CHAFFOTEAUX| 0000001.00|A|CHA|Y|567|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|DIPL|DIPLOMAT| 0000001.00|B|DIPL|Y|724|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|HOOF|HOOVER FLOORCARE| 0000001.00|W|HOOV|Y|1208|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|DOLP|DOLPHIN| 0000001.00|W|DOLP|Y|742|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|EADI|EADIECARE| 0000001.00| |EADI|Y|766|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|HOTT|HOTPOINT REG (10% DISC)| 0000001.00|W|HOTP|Y|1226|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ECWO|E-CREDIT WARNTY 1YR| 0000001.00|W|ECGO|Y|784|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|COME|COMET| 0000001.00|A|COME|Y|615|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ELE5|ELECTROLUX 5 YEAR PROMO| 0000001.00| |ELUX|Y|802|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|COPP|COPPERFLAME| 0000001.00| |COPP|Y|633|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ELKO|ELKOLD| 0000001.00|W|ELKO|Y|820|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ELTR|ELECTRA (TRICITY)| 0000001.00|G|ELCR|Y|832|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|HYDR|HYDROLINE IN-WRTY| 0000001.00|H|HYDR|Y|1285|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ENTE|ENTEL| 0000001.00|B|ENTE|Y|850|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ICF5|John Lewis Indesit CF 12-23| 0000001.00| |INDE|Y|1303|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|DCTR|DIMPLEX| 0000001.00| |DCTR|Y|687|2018-02-28 16:29:07.000000|2019-09-10 19:04:31.308366
GBR|DELU|DELUXE| 0000001.00|G|DELU|Y|699|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ESKI|ESKIMO| 0000001.00|W|ESKI|Y|862|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|DIGI|DIGITAL| 0000001.00|B|DIGI|Y|717|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|NECH|NECHT| 0000001.00| |NECH|Y|1864|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|INDM|INDESIT (MPM)| 0000001.00|A|INDE|Y|1351|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
PRT|MOBI|MOBILIS| 0000001.00|B|@@@@|Y|228490|2020-03-18 19:04:29.850568|2020-03-18 19:04:29.850568
GBR|NISI|NISIS| 0000001.00|B|NISI|Y|1906|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|OCEA|OCEAN| 0000001.00|A|OCEA|Y|1941|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ORIO|ORION| 0000001.00|A|ORIO|Y|1977|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|P2SI|SIEMENS PR 1+1| 0000001.00| |SIEM|Y|2013|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|PEBL|PEBBLE| 0000001.00| |PEBL|Y|2049|2018-02-28 16:29:07.000000|2020-02-19 19:02:55.877506
GBR|POLT|POLTI| 0000001.00|A|POLT|Y|2085|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|PREC|PRECISION 90| 0000001.00| |PREC|Y|2121|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|PROX|PROLECTRIX| 0000001.00|W|@@@@|Y|2157|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BRAN|BRANDT| 0000001.00|G|BRAN|Y|457|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BROK|BROCKSONIC| 0000001.00|G|BROK|Y|475|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BTCE|BCARD 1YR £500+| 0000001.00|G|@@@@|Y|493|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|REX|REX| 0000001.00|G|REX|Y|2241|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CAF|CAF| 0000001.00| |CAF|Y|511|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ION|ION AUDIO| 0000001.00| |ION|Y|1375|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CARA|CARAVELL| 0000001.00|A|CARA|Y|529|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CAT|CAT| 0000001.00|B|@@@@|Y|541|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|JAYC|JAYCEES| 0000001.00| |JAYC|Y|1399|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|JES3|360 Fly - action cameras| 0000001.00| |JESS|Y|1411|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CENS|CENSERPRISE| 0000001.00|G|CENS|Y|559|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|JOHA|JOHANSSON| 0000001.00|A|JOHA|Y|1429|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|FAUR|FAURE| 0000001.00| |FER|Y|904|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|KARC|K'ARCHER| 0000001.00|W|KARC|Y|1447|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|FIAC|FIAC| 0000001.00| |FIAC|Y|916|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|FISH|FISHER| 0000001.00|A|FISH|Y|928|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|KESS|KESTON BOILERS| 0000001.00| |KESB|Y|1465|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|FOCU|FOCUSRITE| 0000001.00|B|FOCU|Y|946|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|KLEG|KLEGGS AUDIO UK| 0000001.00| |KLEG|Y|1483|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|FREE|FREELANCE CORDLESS| 0000001.00|G|BRIT|Y|964|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|FAGO|FAGOR| 0000001.00|A|FAGO|Y|897|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|FUJX|FUJIX| 0000001.00|B|FUJX|Y|982|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|SIMA|SIMAC| 0000001.00| |SIMA|Y|2409|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|LEC|LEC| 0000001.00|G|LEC|Y|1525|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|LENC|LENCO| 0000001.00|B|LENC|Y|1537|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|SMAR|SMART| 0000001.00|G|SMAR|Y|2439|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|SOLG|SOLIGOR| 0000001.00|A|SOLG|Y|2451|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|SONO|SONOS| 0000001.00| |SONO|Y|2463|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|LIBR|LIBREX| 0000001.00|G|LIBR|Y|1573|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|COPL|COPLAND| 0000001.00|B|COPL|Y|631|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|LINS|LINSAR| 0000001.00| |LINS|Y|1579|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|LOMB|LOMBARD TRICITY| 0000001.00| |LOMB|Y|1591|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|LUX6|ELECTROLUX| 0000001.00| |ELUX|Y|1603|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|STRA|STRAX| 0000001.00|A|STRA|Y|2523|2018-02-28 16:30:59.000000|2019-11-14 19:02:43.669508
GBR|STYL|STYLERIGHTER| 0000001.00|H|STYL|Y|2529|2018-02-28 16:30:59.000000|2019-11-14 19:02:43.669508
GBR|GE|GE APPLIANCES| 0000001.00|W|GEN|Y|1017|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|DATS|DATSURA| 0000001.00|B|DATS|Y|685|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|MARL|MARLETON CROSS| 0000001.00|A|MARL|Y|1645|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|GLDB|GLEN DIMPLEX BOILERS| 0000001.00|H|GLDB|Y|1041|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
