CHANNEL_CODE|CHANNEL_NAME|CHANNEL_CATEGORY_CODE|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
0017|SCHEME|UNKN|Y|5408|2018-02-28 16:43:34.000000|2020-01-28 19:01:38.564574
0026|QUASAR|CUST|Y|200000|2018-10-23 19:04:54.039799|2022-06-29 19:01:26.120621
0035|DIGITAL - D&G PRODUCT REPLACEMENT|CUST|Y|200062|2019-10-30 19:01:27.916815|2019-10-30 19:01:27.916815
0038|DIGITAL -  CLIENT MONTHLY CARE|CUST|Y|200140|2020-05-13 19:01:31.851717|2020-05-13 19:01:31.851717
0044|DIGITAL - CLIENT SITE|CLIE|Y|200220|2021-02-12 19:01:06.547365|2021-02-13 19:01:21.395349
0025|CSD|CUST|Y|5426|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0006|GENIO BEDWORTH|CUST|Y|5386|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0014|PROVIDE|CUST|Y|5402|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0023|E1|UNKN|Y|5422|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0027|AMDEA|CUST|Y|200020|2018-12-20 20:11:45.015688|2018-12-20 20:11:45.015688
0034|DIGITAL - D&G CLAIMS|CUST|Y|200063|2019-10-30 19:01:27.916815|2019-10-30 19:01:27.916815
0039|GENIO INTERNATIONAL|CUST|Y|200142|2020-06-09 19:01:39.185470|2020-06-09 19:01:39.185470
0045|GENIO CXP|CUST|Y|200240|2021-04-22 19:01:05.807492|2021-04-22 19:01:05.807492
0004|ECOMMERCE ARGOS|CUST|Y|5382|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0012|OLR|CUST|Y|5398|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0020|RECALL OLR|CUST|Y|5414|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0003|ECOMMERCE SKY|CUST|Y|5380|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0028|ECOMMERCE AO|CUST|Y|200040|2019-07-23 19:01:53.763006|2019-07-25 19:01:37.959917
0033|DIGITAL - D&G REPAIR & CARE|CUST|Y|200064|2019-10-30 19:01:27.916815|2019-10-30 19:01:27.916815
0040|AGENT DESKTOP (OUTSOURCED)|CUST|Y|200143|2020-06-09 19:01:39.185470|2020-06-09 19:01:39.185470
0046|DATA PLATFORM|UNKN|Y|200260|2021-08-09 19:00:58.154088|2021-08-09 19:00:58.154088
0001|CLIENT FEEDS|CLIE|Y|5376|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0010|GENIO SITEL|CUST|Y|5394|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0018|TRANSMISSIONS SCANNED|CUST|Y|5410|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
9999|UNKNOWN|UNKN|Y|5416|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0009|GENIO NOTTINGHAM|CUST|Y|5392|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0029|SCHEME GERMANY|CUST|Y|200042|2019-09-05 19:01:31.661341|2019-09-05 19:01:31.661341
0031|DIGITAL - D&G QUOTE AND BUY|CUST|Y|200065|2019-10-30 19:01:27.916815|2019-10-30 19:01:27.916815
0041|GENIO INTERNATIONAL (OUTSOURCED)|CUST|Y|200160|2020-07-06 19:01:19.118618|2020-07-06 19:01:19.118618
0047|IMI|CLIE|Y|200280|2021-10-07 19:00:55.503391|2021-10-07 19:00:55.503391
