COUNTRY_CODE|COMPANY_CODE|COMPANY_NAME|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
PRT|U|DGI EUROPE AG - PORTUGUESE BRANCH|Y|201653|2019-08-01 19:06:22.032139|2023-01-18 19:07:12.626397
GBR|K|BAILLIE LONGSTAFF SCHEMES|Y|127106|2018-02-28 16:09:19.000000|2022-12-31 19:03:52.212710
GBR|N|NATIONWIDE FREEZER SERVICE|Y|127109|2018-02-28 16:09:19.000000|2022-12-31 19:03:52.212710
GBR|V|CASH BACK COMPANY|Y|127116|2018-02-28 16:09:19.000000|2022-12-31 19:03:52.212710
GBR|G|DOMESTIC AND GENERAL REPAIR AND CARE|Y|127102|2018-02-28 16:09:19.000000|2022-12-31 19:03:52.212710
FRA|D|DGI FRANCE|Y|200006|2019-03-27 22:45:04.119620|2023-01-18 19:07:12.626397
NLD|D|NETHERLANDS DGI PLC|Y|200013|2019-03-27 22:45:04.119620|2023-01-18 19:07:12.626397
PRT|E|DOMESTIC & GENERAL|Y|200024|2019-03-28 19:11:02.643336|2022-12-31 19:03:52.212710
SWE|9|E X I T  S C H E M E   S Y S T E M|Y|200036|2019-03-28 19:11:02.643336|2019-03-28 19:11:02.643336
POL|B|D&G BUILT IN BUSINESS POLAND|Y|200052|2019-03-28 19:11:02.643336|2022-12-31 19:03:52.212710
ITA|R|SERVIZI D&G ITALIA SRL (RPP)|Y|200068|2019-03-28 19:11:02.643336|2022-12-31 19:03:52.212710
ITA|9|E X I T  S C H E M E   S Y S T E M|Y|200079|2019-03-28 19:11:02.643336|2022-12-31 19:03:52.212710
AUT|U|DGI EUROPE AG - AUSTRIAN BRANCH|Y|201445|2019-07-18 19:06:50.827348|2023-01-18 19:07:12.626397
BEL|U|DGI EUROPE AG - BELGIUM BRANCH|Y|201451|2019-07-18 19:06:50.827348|2023-01-18 19:07:12.626397
GBR|8|GENERAL SCHEME MAINTENANCE|Y|127094|2018-02-28 16:09:19.000000|2022-12-31 19:03:52.212710
GBR|P|HOTPOINT|Y|127111|2018-02-28 16:09:19.000000|2022-12-31 19:03:52.212710
GBR|C|CHARTERHOUSE INSURANCE SERVICES LTD|Y|127098|2018-02-28 16:09:19.000000|2022-12-31 19:03:52.212710
GBR|L|FREEMANS CREDITOR INSURANCE|Y|127107|2018-02-28 16:09:19.000000|2022-12-31 19:03:52.212710
IRL|D|D&G INSURANCE BUSINESS IN IRELAND|Y|200001|2019-03-27 22:45:04.119620|2023-01-18 19:07:12.626397
BEL|D|DGI Belgium|Y|200009|2019-03-27 22:45:04.119620|2023-01-18 19:07:12.626397
IRL|9|E X I T  S C H E M E   S Y S T E M|Y|200021|2019-03-28 19:11:02.643336|2022-12-31 19:03:52.212710
IRL|7|TRANSFER UTILITY|Y|200032|2019-03-28 19:11:02.643336|2022-12-31 19:03:52.212710
FRA|B|DGI FRANCE IN-WARRANTY BUSINESS|Y|200046|2019-03-28 19:11:02.643336|2022-12-31 19:03:52.212710
SWE|6|ENQUIRY SYSTEM FOR ALL COMPANIES|Y|200059|2019-03-28 19:11:02.643336|2019-03-28 19:11:02.643336
DEU|W|SKANDIA SCHUTZBRIEF|Y|200076|2019-03-28 19:11:02.643336|2022-12-31 19:03:52.212710
SWE|D|DOMESTIC & GENERAL INSURANCE PLC|Y|200082|2019-03-28 19:11:02.643336|2019-03-28 19:11:02.643336
DEU|U|DGI EUROPE AG - GERMAN BRANCH|Y|201604|2019-08-01 19:06:22.032139|2023-01-18 19:07:12.626397
