CompanyCode|ProductVariant|ProductVariantType|ProductVariantStatus|MessageNumber|GlobalMessage|User|UpdateDate
D|1D |P|N|1|DYSON EXTENDED INSURANCE PLAN.                    |WHITES    |1020626
D|1D |P|N|2|30 DAY MAILING SCHEME FOR SOUTHERN IRELAND.       |WHITES    |1020626
D|1D |P|N|3|SCHEME COVERS VACUUM CLEANERS ONLY.               |WHITES    |1020626
D|1D |P|N|4|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|1D |P|N|5|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|1D |P|N|6|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1020626
D|1D |P|N|7|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1020626
D|1D |P|N|8|PAYMENT BY CSH,PO,CHQ,CC,DD (10 PAYMENTS).        |WHITES    |1020626
D|1D |P|N|9|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1020626
D|1D |P|N|10|PERIOD OF COVER IS 2+3 ONLY.                      |WHITES    |1020626
D|1D |P|N|11|VACUUM CLEANERS HAVE A TWO YEAR GUARANTEE.        |WHITES    |1020626
D|1D |P|N|12|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|97|P|N|1|DYSON EXTENDED INSURANCE PLAN.                    |WHITES    |1020626
D|97|P|N|2|30 DAY MAILING SCHEME FOR SOUTHERN IRELAND.       |WHITES    |1020626
D|1D |P|R|7|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1020626
D|1D |P|R|8|PAYMENT BY CSH,PO,CHQ,CC,DD (1/4LY AT RENEWAL).   |WHITES    |1020626
D|1D |P|R|9|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1020626
D|1D |P|R|10|PERIOD OF COVER IS ANNUAL ONLY.                   |WHITES    |1020626
D|1D |P|R|11|VACUUM CLEANERS HAVE A TWO YEAR GUARANTEE.        |WHITES    |1020626
D|1D |P|R|12|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|97|P|N|3|SCHEME IS FOR DPA CUSTOMERS.                      |WHITES    |1020626
D|97|P|N|4|SCHEME COVERS VACUUM CLEANERS ONLY.               |WHITES    |1020626
D|97|P|N|5|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|97|P|N|6|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|97|P|N|7|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1020626
D|97|P|N|8|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1020626
D|97|P|N|9|PAYMENT BY CSH,PO,CHQ,CC,DD (10 PAYMENTS).        |WHITES    |1020626
D|97|P|N|10|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1020626
D|97|P|N|11|PERIOD OF COVER IS 2+3 ONLY.                      |WHITES    |1020626
D|97|P|N|12|VACUUM CLEANERS HAVE A TWO YEAR GUARANTEE.        |WHITES    |1020626
D|97|P|N|13|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|97|P|R|1|DYSON EXTENDED INSURANCE PLAN.                    |WHITES    |1020626
D|97|P|R|2|30 DAY MAILING SCHEME FOR SOUTHERN IRELAND.       |WHITES    |1020626
D|97|P|R|3|SCHEME IS FOR DPA CUSTOMERS.                      |WHITES    |1020626
D|97|P|R|4|SCHEME COVERS VACUUM CLEANERS ONLY.               |WHITES    |1020626
D|97|P|R|5|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|97|P|R|6|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|97|P|R|7|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1020626
D|97|P|R|8|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1020626
D|97|P|R|9|PAYMENT BY CSH,PO,CHQ,CC,DD (10 PAYMENTS).        |WHITES    |1020626
D|97|P|R|10|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1020626
D|97|P|R|11|PERIOD OF COVER IS 2+3 ONLY.                      |WHITES    |1020626
D|97|P|R|12|VACUUM CLEANERS HAVE A TWO YEAR GUARANTEE.        |WHITES    |1020626
D|97|P|R|13|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|2D |P|N|1|DYSON EXTENDED INSURANCE PLAN.                    |WHITES    |1020626
D|2D |P|N|2|23RD MONTH MAILING SCHEME FOR SOUTHERN IRELAND.   |WHITES    |1020626
D|2D |P|N|3|SCHEME COVERS VACUUM CLEANERS ONLY.               |WHITES    |1020626
D|2D |P|N|4|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|2D |P|N|5|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|2D |P|N|6|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1020626
D|2D |P|N|7|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1020626
D|2D |P|N|8|PAYMENT BY CSH,PO,CHQ,CC,DD (QUARTERLY).          |WHITES    |1020626
D|2D |P|N|9|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1020626
D|2D |P|N|10|PERIOD OF COVER IS ANNUAL ONLY.                   |WHITES    |1020626
D|2D |P|N|11|VACUUM CLEANERS HAVE A TWO YEAR GUARANTEE.        |WHITES    |1020626
D|2D |P|N|12|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|2D |P|R|1|DYSON EXTENDED INSURANCE PLAN.                    |WHITES    |1020626
D|2D |P|R|2|23RD MONTH MAILING SCHEME FOR SOUTHERN IRELAND.   |WHITES    |1020626
D|2D |P|R|3|SCHEME COVERS VACUUM CLEANERS ONLY.               |WHITES    |1020626
D|2D |P|R|4|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|2D |P|R|5|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|2D |P|R|6|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1020626
D|2D |P|R|7|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1020626
D|2D |P|R|8|PAYMENT BY CSH,PO,CHQ,CC,DD (1/4LY AT RENEWAL).   |WHITES    |1020626
D|2D |P|R|9|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1020626
D|2D |P|R|10|PERIOD OF COVER IS ANNUAL ONLY.                   |WHITES    |1020626
D|2D |P|R|11|VACUUM CLEANERS HAVE A TWO YEAR GUARANTEE.        |WHITES    |1020626
D|2D |P|R|12|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|CY |P|N|1|DYSON EXTENDED INSURANCE PLAN.                    |WHITES    |1020626
D|CY |P|N|2|23RD MONTH MAILING SCHEME FOR SOUTHERN IRELAND.   |WHITES    |1020626
D|CY |P|N|3|SCHEME IS FOR DPA CUSTOMERS.                      |WHITES    |1020626
D|CY |P|N|4|SCHEME COVERS VACUUM CLEANERS ONLY.               |WHITES    |1020626
D|CY |P|N|5|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|CY |P|N|6|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|CY |P|N|7|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1020626
D|CY |P|N|8|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1020626
D|CY |P|N|9|PAYMENT BY CSH,PO,CHQ,CC,DD (QUARTERLY).          |WHITES    |1020626
D|CY |P|N|10|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1020626
D|CY |P|N|11|PERIOD OF COVER IS ANNUAL ONLY.                   |WHITES    |1020626
D|CY |P|N|12|VACUUM CLEANERS HAVE A TWO YEAR GUARANTEE.        |WHITES    |1020626
D|CY |P|N|13|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|CY |P|R|1|DYSON EXTENDED INSURANCE PLAN.                    |WHITES    |1020626
D|CY |P|R|2|23RD MONTH MAILING SCHEME FOR SOUTHERN IRELAND.   |WHITES    |1020626
D|CY |P|R|3|SCHEME IS FOR DPA CUSTOMERS.                      |WHITES    |1020626
D|CY |P|R|4|SCHEME COVERS VACUUM CLEANERS ONLY.               |WHITES    |1020626
D|CY |P|R|5|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|CY |P|R|6|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|CY |P|R|7|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1020626
D|CY |P|R|8|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1020626
D|CY |P|R|9|PAYMENT BY CSH,PO,CHQ,CC,DD (1/4LY AT RENEWAL).   |WHITES    |1020626
D|CY |P|R|10|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1020626
D|CY |P|R|11|PERIOD OF COVER IS ANNUAL ONLY.                   |WHITES    |1020626
D|CY |P|R|12|VACUUM CLEANERS HAVE A TWO YEAR GUARANTEE.        |WHITES    |1020626
D|CY |P|R|13|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|DY |P|R|1|DYSON ANNUAL INSURANCE PLAN - SOUTHERN IRELAND.   |WHITES    |1020626
D|DY |P|R|2|TICK BOX MAILING SCHEME. C/M MAILED AT FIVE YEARS.|WHITES    |1020626
D|DY |P|R|3|SCHEME COVERS VACUUM CLEANERS ONLY.               |WHITES    |1020626
D|DY |P|R|4|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|DY |P|R|5|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|DY |P|R|6|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1020626
D|DY |P|R|7|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1020626
D|DY |P|R|8|PAYMENT BY CSH,PO,CHQ,CC,DD (1/4LY AT RENEWAL).   |WHITES    |1020626
D|DY |P|R|9|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1020626
D|DY |P|R|10|PERIOD OF COVER IS ANNUAL ONLY.                   |WHITES    |1020626
D|DY |P|R|11|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|BTB|P|N|1|BOSCH EXTENDED INSURANCE PLAN.                    |WHITES    |1020626
D|BTB|P|N|2|IN THE BOX SCHEME FOR SOUTHERN IRELAND.           |WHITES    |1020626
D|BTB|P|N|3|SCHEME COVERS WHITE GOODS ONLY.                   |WHITES    |1020626
D|DY |P|N|1|DYSON ANNUAL INSURANCE PLAN - SOUTHERN IRELAND.   |WHITES    |1020626
D|DY |P|N|2|TICK BOX MAILING SCHEME. C/M MAILED AT FIVE YEARS.|WHITES    |1020626
D|DY |P|N|3|SCHEME COVERS VACUUM CLEANERS ONLY.               |WHITES    |1020626
D|DY |P|N|4|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|DY |P|N|5|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|DY |P|N|6|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1020626
D|DY |P|N|7|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1020626
D|DY |P|N|8|PAYMENT BY CSH,PO,CHQ,CC,DD (QUARTERLY).          |WHITES    |1020626
D|DY |P|N|9|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1020626
D|DY |P|N|10|PERIOD OF COVER IS ANNUAL ONLY.                   |WHITES    |1020626
D|DY |P|N|11|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|BTB|P|N|4|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|BTB|P|N|5|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|BTB|P|N|6|CUSTOMER CONTACTS APPLIANCE CARE DIRECT IF NEEDING|WHITES    |1020626
D|BTB|P|N|7|A REPAIR (TELEPHONE NUMBER (01) 450 2655).        |WHITES    |1020626
D|BTB|P|N|8|PAYMENT BY CSH,PO,CHQ,CC,DD (10 PAYMENTS).        |WHITES    |1020626
D|BTB|P|N|9|COVER IS BREAKDOWN,ACCIDENTAL DAMAGE & FOOD LOSS. |WHITES    |1020626
D|BTB|P|N|10|PERIOD OF COVER IS 1+4 ONLY.                      |WHITES    |1020626
D|BTB|P|N|11|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|SIB|P|N|1|SIEMENS EXTENDED INSURANCE PLAN.                  |WHITES    |1020626
D|BTB|P|R|1|BOSCH EXTENDED INSURANCE PLAN.                    |WHITES    |1020626
D|BTB|P|R|2|IN THE BOX SCHEME FOR SOUTHERN IRELAND.           |WHITES    |1020626
D|BTB|P|R|3|SCHEME COVERS WHITE GOODS ONLY.                   |WHITES    |1020626
D|BTB|P|R|4|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|BTB|P|R|5|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|BTB|P|R|6|CUSTOMER CONTACTS APPLIANCE CARE DIRECT IF NEEDING|WHITES    |1020626
D|DYS|P|N|1|DYSON EXTENDED INSURANCE PLAN.                    |WHITES    |1021101
D|DYS|P|N|2|IN THE BOX SCHEME FOR SOUTHERN IRELAND.           |WHITES    |1021101
D|DYS|P|N|3|SCHEME COVERS WASHONG MACHINES ONLY.              |WHITES    |1021101
D|DYS|P|N|4|NON-MAPPABLE SCHEME.                              |WHITES    |1021101
D|DYS|P|N|5|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1021101
D|DYS|P|N|6|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1021101
D|DYS|P|N|7|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1021101
D|DYS|P|N|8|PAYMENT BY CSH,PO,CHQ,CC,DD (10 PAYMENTS).        |WHITES    |1021101
D|DYS|P|N|9|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1021101
D|DYS|P|N|10|PERIOD OF COVER IS 2+1 OR 2+3.                    |WHITES    |1021101
D|DYS|P|N|11|WASHING MACHINES HAVE A TWO YEAR GUARANTEE.       |WHITES    |1021101
D|DYS|P|N|12|CONTACT BRITT HARRIS (EXTN 3607) IF ANY QUERIES.  |WHITES    |1021101
D|DYS|P|R|1|DYSON EXTENDED INSURANCE PLAN.                    |WHITES    |1021101
D|DYS|P|R|2|IN THE BOX SCHEME FOR SOUTHERN IRELAND.           |WHITES    |1021101
D|DYS|P|R|3|SCHEME COVERS WASHONG MACHINES ONLY.              |WHITES    |1021101
D|DYS|P|R|4|NON-MAPPABLE SCHEME.                              |WHITES    |1021101
D|DYS|P|R|5|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1021101
D|DYS|P|R|6|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1021101
D|DYS|P|R|7|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1021101
D|DYS|P|R|8|PAYMENT BY CSH,PO,CHQ,CC,DD (QUARTERLY).          |WHITES    |1021101
D|DYS|P|R|9|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1021101
D|DYS|P|R|10|PERIOD OF COVER IS ANNUAL AT RENEWAL.             |WHITES    |1021101
D|DYS|P|R|11|WASHING MACHINES HAVE A TWO YEAR GUARANTEE.       |WHITES    |1021101
D|DYS|P|R|12|CONTACT BRITT HARRIS (EXTN 3607) IF ANY QUERIES.  |WHITES    |1021101
B|PRO|P|N|2|QED is the distributor for De Dietrich appliances |TERRYV    |1030206
B|PRO|P|N|3|(white goods) in the ROI.                         |TERRYV    |1030206
B|PRO|P|N|4|Under this scheme customers register their        |TERRYV    |1030206
B|PRO|P|N|5|purchase at the POS to benefit from a 0+3 g'tee   |TERRYV    |1030206
B|PRO|P|N|6|administered and underwritten by D & G.           |TERRYV    |1030206
B|PRO|P|N|7|Protection is parts and labour only, no free food.|TERRYV    |1030206
B|PRO|P|N|8|In cases of breakdown the cm should contact their |TERRYV    |1030206
B|PRO|P|N|9|retailer who will organise the repair. QED to     |TERRYV    |1030206
D|DYT|P|N|1|DYSON LIMITED                                     |ROWEJ     |1020221
D|DYT|P|N|2|30 DAY MAILER - OPTION 1 2+1 & OPTION 2 2+3       |ROWEJ     |1020221
D|DYT|P|N|3|TYPE OF APPLIANCE: AUTOMATIC WASHING MACHINE      |ROWEJ     |1020221
D|DYT|P|N|4|CONTRAROTATOR - MODELS CR01/02/03                 |ROWEJ     |1020221
D|DYT|P|N|5|MAPPABLE:  NO                                     |ROWEJ     |1020221
D|DYT|P|N|6|REPAIR ROUTE:  REFER TO DYSON LTD                 |ROWEJ     |1020221
D|DYT|P|N|7|DURING AND AFTER MANUFACTURERS GUARANTEE.         |ROWEJ     |1020221
D|DYT|P|N|8|DYSON  LTD TEL NO: 0870 600 2701                  |ROWEJ     |1020221
D|DYT|P|N|9|PAYMENT OPTIONS:  CASH/CHEQUE/CC/DD (X 10 MONTHLY |ROWEJ     |1020221
D|DYT|P|N|10|DD PAYMENTS)                                      |ROWEJ     |1020221
D|DYT|P|N|11|COVER: PARTS AND LABOUR CHARGES FOLLOWING         |ROWEJ     |1020221
D|DYT|P|N|12|MECHANICAL OR ELECTRICAL BREAKDOWN.               |ROWEJ     |1020221
D|DYT|P|N|13|THE COST OF REPAIRS FOLLOWING ACCIDENTAL DAMAGE.  |ROWEJ     |1020221
D|DYT|P|N|14|AUTHORISATION REQUIRED FOR REPAIRS EXCEEDING £125.|ROWEJ     |1020221
D|DYT|P|N|15|POC:  OPTION 1 - 24 MONTHS + 12 MONTHS            |ROWEJ     |1020221
D|DYT|P|N|16|      OPTION 2 - 24 MONTHS + 36 MONTHS            |ROWEJ     |1020221
D|DYT|P|R|1|DYSON LIMITED                                     |ROWEJ     |1020221
D|DYT|P|R|2|30 DAY MAILER - OPTION 1 2+1 & OPTION 2 2+3       |ROWEJ     |1020221
D|DYT|P|R|3|TYPE OF APPLIANCE: AUTOMATIC WASHING MACHINE      |ROWEJ     |1020221
D|DYT|P|R|4|CONTRAROTATOR - MODELS CR01/02/03                 |ROWEJ     |1020221
D|DYT|P|R|5|MAPPABLE:  NO                                     |ROWEJ     |1020221
D|DYT|P|R|6|REPAIR ROUTE:  REFER TO DYSON LTD                 |ROWEJ     |1020221
D|DYT|P|R|7|DURING AND AFTER MANUFACTURERS GUARANTEE.         |ROWEJ     |1020221
D|DYT|P|R|8|DYSON  LTD TEL NO: 0870 600 2701                  |ROWEJ     |1020221
D|DYT|P|R|9|PAYMENT OPTIONS:  CASH/CHEQUE/CC/DD (X 10 MONTHLY |ROWEJ     |1020221
D|DYT|P|R|10|DD PAYMENTS)                                      |ROWEJ     |1020221
D|DYT|P|R|11|COVER: PARTS AND LABOUR CHARGES FOLLOWING         |ROWEJ     |1020221
D|DYT|P|R|12|MECHANICAL OR ELECTRICAL BREAKDOWN.               |ROWEJ     |1020221
D|DYT|P|R|13|THE COST OF REPAIRS FOLLOWING ACCIDENTAL DAMAGE.  |ROWEJ     |1020221
D|DYT|P|R|14|AUTHORISATION REQUIRED FOR REPAIRS EXCEEDING £125.|ROWEJ     |1020221
D|DYT|P|R|15|POC:  OPTION 1 - 24 MONTHS + 12 MONTHS            |ROWEJ     |1020221
D|DYT|P|R|16|      OPTION 2 - 24 MONTHS + 36 MONTHS            |ROWEJ     |1020221
D|DYD|P|N|1|DYSON LTD 30 DAY MAILING SCHEME                   |ROWEJ     |1020221
D|DYD|P|N|2|DATA PROTECTION SCHEME                            |ROWEJ     |1020221
D|DYD|P|N|3|2 YEAR MANUFACTURER'S GUARANTEE                   |ROWEJ     |1020221
D|DYD|P|N|4|OFFERING OPTION 1) 2+1 AND OPTIONS 2) 2+3         |ROWEJ     |1020221
D|DYD|P|N|5|TYPE OF APPLIANCE: AUTOMATIC WASHING MACHINE      |ROWEJ     |1020221
D|DYD|P|N|6|CONTRAROTATOR - MODELS CR01/02/03                 |ROWEJ     |1020221
D|DYD|P|N|7|MAPPABLE: NO                                      |ROWEJ     |1020221
D|DYD|P|N|8|REPAIR ROUTE: REFER TO DYSON LTD DURING AND       |ROWEJ     |1020221
D|DYD|P|N|9|AFTER MANUFACTURER'S GUARANTEE.                   |ROWEJ     |1020221
D|DYD|P|N|10|DYSON LTD TEL NO: 0870 600 2701                   |ROWEJ     |1020221
D|DYD|P|N|11|PAYMENT OPTIONS: CASH/CHEQUE/CC/DD (X 10 MONTHLY  |ROWEJ     |1020221
D|DYD|P|N|12|PAYMENTS)                                         |ROWEJ     |1020221
D|DYD|P|N|13|COVER: PARTS AND LABOUR CHARGES FOLLOWING         |ROWEJ     |1020221
D|DYD|P|N|14|MECHANICAL OR ELECTRICAL BREAKDOWN.               |ROWEJ     |1020221
D|DYD|P|N|15|THE COST OF REPAIRS FOLLOWING ACCIDENTAL DAMAGE.  |ROWEJ     |1020221
D|DYD|P|N|16|AUTHORISATION REQUIRED FOR REPAIRS EXCEEDING £125.|ROWEJ     |1020221
D|DYD|P|N|17|POC: OPTION 1 - 24 MONTHS + 12 MONTHS             |ROWEJ     |1020221
D|DYD|P|N|18|     OPTION 2 - 24 MONTHS + 36 MONTHS             |ROWEJ     |1020221
D|DYD|P|R|1|DYSON LTD 30 DAY MAILING SCHEME                   |ROWEJ     |1020221
D|DYD|P|R|2|DATA PROTECTION SCHEME                            |ROWEJ     |1020221
D|DYD|P|R|3|2 YEAR MANUFACTURER'S GUARANTEE                   |ROWEJ     |1020221
D|DYD|P|R|4|OFFERING OPTION 1) 2+1 AND OPTIONS 2) 2+3         |ROWEJ     |1020221
D|DYD|P|R|5|TYPE OF APPLIANCE: AUTOMATIC WASHING MACHINE      |ROWEJ     |1020221
D|DYD|P|R|6|CONTRAROTATOR - MODELS CR01/02/03                 |ROWEJ     |1020221
D|DYD|P|R|7|MAPPABLE: NO                                      |ROWEJ     |1020221
D|DYD|P|R|8|REPAIR ROUTE: REFER TO DYSON LTD DURING AND       |ROWEJ     |1020221
D|DYD|P|R|9|AFTER MANUFACTURER'S GUARANTEE.                   |ROWEJ     |1020221
D|DYD|P|R|10|DYSON LTD TEL NO: 0870 600 2701                   |ROWEJ     |1020221
D|DYD|P|R|11|PAYMENT OPTIONS: CASH/CHEQUE/CC/DD (X 10 MONTHLY  |ROWEJ     |1020221
D|DYD|P|R|12|PAYMENTS)                                         |ROWEJ     |1020221
D|DYD|P|R|13|COVER: PARTS AND LABOUR CHARGES FOLLOWING         |ROWEJ     |1020221
D|DYD|P|R|14|MECHANICAL OR ELECTRICAL BREAKDOWN.               |ROWEJ     |1020221
D|DYD|P|R|15|THE COST OF REPAIRS FOLLOWING ACCIDENTAL DAMAGE.  |ROWEJ     |1020221
D|DYD|P|R|16|AUTHORISATION REQUIRED FOR REPAIRS EXCEEDING £125.|ROWEJ     |1020221
D|DYD|P|R|17|POC: OPTION 1 - 24 MONTHS + 12 MONTHS             |ROWEJ     |1020221
D|DYD|P|R|18|     OPTION 2 - 24 MONTHS + 36 MONTHS             |ROWEJ     |1020221
D|DYE|P|N|1|DYSON LIMITED                                     |ROWEJ     |1020221
D|DYE|P|N|2|23rd MONTH MAILER - 2+1.                          |ROWEJ     |1020221
D|DYE|P|N|3|TYPE OF APPLIANCE: AUTOMATIC WASHING MACHINE      |ROWEJ     |1020221
D|DYE|P|N|4|CONTRAROTATOR - MODELS CR01/02/03 - 2 YEAR M/G    |ROWEJ     |1020221
D|DYE|P|N|5|MAPPABLE:  NO                                     |ROWEJ     |1020221
D|DYE|P|N|6|REPAIR ROUTE:  REFER TO DYSON LTD                 |ROWEJ     |1020221
D|DYE|P|N|7|DURING AND AFTER MANUFACTURERS GUARANTEE.         |ROWEJ     |1020221
D|DYE|P|N|8|DYSON  LTD TEL NO: 0870 600 2701                  |ROWEJ     |1020221
D|DYE|P|N|9|PAYMENT OPTIONS:  CASH/CHEQUE/CC/DD (X 10 MONTHLY |ROWEJ     |1020221
